Job Title,Company,Job Link,title,company,link,description,salary,location
Social Media Specialist,PT. Indonesia Consultindo Global,/id/job/79672037?type=standard&ref=search-standalone&origin=cardTitle#sol=2e6fe9f94941051570bd525a4479dfe46554002b,N/A,N/A,https://id.jobstreet.com/id/job/79672037?type=standard&ref=search-standalone&origin=cardTitle#sol=2e6fe9f94941051570bd525a4479dfe46554002b,,N/A,N/A
Videographer,Company Confidential,/id/job/77759598?type=standard&ref=search-standalone&origin=cardTitle#sol=dbd469b0388162a08eed1d78b79ffb7d761f14be,N/A,N/A,https://id.jobstreet.com/id/job/77759598?type=standard&ref=search-standalone&origin=cardTitle#sol=dbd469b0388162a08eed1d78b79ffb7d761f14be,,N/A,N/A
Staff Akunting,Company Confidential,/id/job/79283498?type=standard&ref=search-standalone&origin=cardTitle#sol=e777da59e766678d2e186dd97e1053c41a1259d5,N/A,N/A,https://id.jobstreet.com/id/job/79283498?type=standard&ref=search-standalone&origin=cardTitle#sol=e777da59e766678d2e186dd97e1053c41a1259d5,,N/A,N/A
Mobile App Developer,Snaphunt,/id/job/79738698?type=standard&ref=search-standalone&origin=cardTitle#sol=87bf79f9334224fc93f7af06d180da2cd702eec1,N/A,N/A,https://id.jobstreet.com/id/job/79738698?type=standard&ref=search-standalone&origin=cardTitle#sol=87bf79f9334224fc93f7af06d180da2cd702eec1,,N/A,N/A
Accountant,Snaphunt,/id/job/76621016?type=standard&ref=search-standalone&origin=cardTitle#sol=88108f3cb990051d7790125ee867fa15703c1a8b,N/A,N/A,https://id.jobstreet.com/id/job/76621016?type=standard&ref=search-standalone&origin=cardTitle#sol=88108f3cb990051d7790125ee867fa15703c1a8b,,N/A,N/A
Architectural Drafter,Company Confidential,/id/job/76298158?type=standard&ref=search-standalone&origin=cardTitle#sol=ec9cdc851d0edf209bfdbb290873f5edb2c9dd2a,N/A,N/A,https://id.jobstreet.com/id/job/76298158?type=standard&ref=search-standalone&origin=cardTitle#sol=ec9cdc851d0edf209bfdbb290873f5edb2c9dd2a,,N/A,N/A
Videografer Editor,Company Confidential,/id/job/75008269?type=standard&ref=search-standalone&origin=cardTitle#sol=11c723689fcbef6469819edb7f8111e676eb7ef3,N/A,N/A,https://id.jobstreet.com/id/job/75008269?type=standard&ref=search-standalone&origin=cardTitle#sol=11c723689fcbef6469819edb7f8111e676eb7ef3,,N/A,N/A
Junior Architect,Company Confidential,/id/job/76811646?type=standard&ref=search-standalone&origin=cardTitle#sol=e2fe138166e70e7178036f854c696719eb759733,N/A,N/A,https://id.jobstreet.com/id/job/76811646?type=standard&ref=search-standalone&origin=cardTitle#sol=e2fe138166e70e7178036f854c696719eb759733,,N/A,N/A
Admin,Company Confidential,/id/job/79408692?type=standard&ref=search-standalone&origin=cardTitle#sol=87e2495db96ad0027157cabf7e827d23f4b6ca16,N/A,N/A,https://id.jobstreet.com/id/job/79408692?type=standard&ref=search-standalone&origin=cardTitle#sol=87e2495db96ad0027157cabf7e827d23f4b6ca16,,N/A,N/A
Accounting Staff,Company Confidential,/id/job/78411540?type=standard&ref=search-standalone&origin=cardTitle#sol=841b86864c6e19467c9c230d1be7c028596c945b,N/A,N/A,https://id.jobstreet.com/id/job/78411540?type=standard&ref=search-standalone&origin=cardTitle#sol=841b86864c6e19467c9c230d1be7c028596c945b,,N/A,N/A
Customer Success Officer,PT KOLTIVA,/id/job/79089576?type=standard&ref=search-standalone&origin=cardTitle#sol=90010eda5bac89b24a731a77834edf0365cbdc29,N/A,N/A,https://id.jobstreet.com/id/job/79089576?type=standard&ref=search-standalone&origin=cardTitle#sol=90010eda5bac89b24a731a77834edf0365cbdc29,,N/A,N/A
OPTIC CALE ENGINEER STAFF-MANDARIN SPEAKER,PT EVERPRO INDONESIA TECHNOLOGIES,/id/job/77710711?type=standard&ref=search-standalone&origin=cardTitle#sol=6bd5aad4789fd12d3f1bb8fab501de98542fec2f,N/A,N/A,https://id.jobstreet.com/id/job/77710711?type=standard&ref=search-standalone&origin=cardTitle#sol=6bd5aad4789fd12d3f1bb8fab501de98542fec2f,,N/A,N/A
Bookkeeper,Btab Group,/id/job/75844619?type=standard&ref=search-standalone&origin=cardTitle#sol=60b5050dc8b7238b5515c8c7f72f986674544069,N/A,N/A,https://id.jobstreet.com/id/job/75844619?type=standard&ref=search-standalone&origin=cardTitle#sol=60b5050dc8b7238b5515c8c7f72f986674544069,,N/A,N/A
Point of Contact (POC),Company Confidential,/id/job/76891646?type=standard&ref=search-standalone&origin=cardTitle#sol=d1b9ff751f5d8eb1d980a8c750f4676f183b8654,N/A,N/A,https://id.jobstreet.com/id/job/76891646?type=standard&ref=search-standalone&origin=cardTitle#sol=d1b9ff751f5d8eb1d980a8c750f4676f183b8654,,N/A,N/A
Junior Laboratory Assistant,Yayasan Bina Nusantara,/id/job/79309999?type=standard&ref=search-standalone&origin=cardTitle#sol=a9f5f5ee070a0e2081c8d98a1793702b0729f006,N/A,N/A,https://id.jobstreet.com/id/job/79309999?type=standard&ref=search-standalone&origin=cardTitle#sol=a9f5f5ee070a0e2081c8d98a1793702b0729f006,,N/A,N/A
Architectural Designer,Company Confidential,/id/job/78102085?type=standard&ref=search-standalone&origin=cardTitle#sol=a3a92b40dc58aeaa5cc48fbe4299fd6159bc5cce,N/A,N/A,https://id.jobstreet.com/id/job/78102085?type=standard&ref=search-standalone&origin=cardTitle#sol=a3a92b40dc58aeaa5cc48fbe4299fd6159bc5cce,,N/A,N/A
Purchasing Manager,Company Confidential,/id/job/79341774?type=standard&ref=search-standalone&origin=cardTitle#sol=9950b7e9343700d08013590cf8b103d32e55b450,N/A,N/A,https://id.jobstreet.com/id/job/79341774?type=standard&ref=search-standalone&origin=cardTitle#sol=9950b7e9343700d08013590cf8b103d32e55b450,,N/A,N/A
Photographer,Company Confidential,/id/job/78229069?type=standard&ref=search-standalone&origin=cardTitle#sol=753469260fb283114f0e5b2e0b2bcab9fc1e8517,N/A,N/A,https://id.jobstreet.com/id/job/78229069?type=standard&ref=search-standalone&origin=cardTitle#sol=753469260fb283114f0e5b2e0b2bcab9fc1e8517,,N/A,N/A
Senior dan Junior Architect,Company Confidential,/id/job/77759627?type=standard&ref=search-standalone&origin=cardTitle#sol=cba56f83ef230c294465b0b0e85e2d8dd53d828d,N/A,N/A,https://id.jobstreet.com/id/job/77759627?type=standard&ref=search-standalone&origin=cardTitle#sol=cba56f83ef230c294465b0b0e85e2d8dd53d828d,,N/A,N/A
Social Media Specialist,Ecohome Indonesia,/id/job/79242699?type=standard&ref=search-standalone&origin=cardTitle#sol=6d5407c1d86b8382cfc2bd36c2fdc741104e5d82,N/A,N/A,https://id.jobstreet.com/id/job/79242699?type=standard&ref=search-standalone&origin=cardTitle#sol=6d5407c1d86b8382cfc2bd36c2fdc741104e5d82,,N/A,N/A
QA Tester / Engineer,Snaphunt,/id/job/79308618?type=standard&ref=search-standalone&origin=cardTitle#sol=8f49664cf28e737d6420c41038b916c58c6cc72d,N/A,N/A,https://id.jobstreet.com/id/job/79308618?type=standard&ref=search-standalone&origin=cardTitle#sol=8f49664cf28e737d6420c41038b916c58c6cc72d,,N/A,N/A
